Iteration,Verse,Scheduled,Read,Notes
2016,Song of Solomon 1-2;Psalm 69;John 9,09/08/2016,09/10/2016,-
2016,Song of Solomon 3-4;Psalm 70;John 10,09/09/2016,09/10/2016,-
2016,Song of Solomon 5-6;Psalm 71;John 11,09/10/2016,09/10/2016,-
2016,Song of Solomon 7-8;Psalm 72;John 12,09/11/2016,09/11/2016,-
2016,Isaiah 1-2;Psalm 73;John 13,09/12/2016,09/12/2016,-
2016,Isaiah 3-5;Psalm 74;John 14-15,09/13/2016,09/13/2016,-
2016,Isaiah 6-8;Psalm 75;John 16,09/14/2016,09/14/2016,-
2016,Isaiah 9-10;Psalm 76;John 17,09/15/2016,09/18/2016,-
2016,Isaiah 11-13;Psalm 77;John 18,09/16/2016,09/18/2016,-
2016,Isaiah 14-15;Psalm 78;John 19,09/17/2016,09/18/2016,-
2016,Isaiah 16-17;Psalm 79;John 20,09/18/2016,09/18/2016,-
2016,Isaiah 18-19;Psalm 80;John 21,09/19/2016,09/24/2016,-
2016,Isaiah 20-22;Psalm 81;Acts 1,09/20/2016,09/24/2016,-
2016,Isaiah 23-24;Psalm 82;Acts 2,09/21/2016,09/24/2016,-
2016,Isaiah 25-26;Psalm 83;Acts 3-4,09/22/2016,09/24/2016,-
2016,Isaiah 27-28;Psalm 84;Acts 5-6,09/23/2016,10/08/2016,-
2016,Isaiah 29-30;Psalm 85;Acts 7,09/24/2016,10/08/2016,-
2016,Isaiah 31-32;Psalm 86;Acts 8,09/25/2016,10/09/2016,-
2016,Isaiah 33-34;Psalm 87;Acts 9,09/26/2016,10/09/2016,-
2016,Isaiah 35-36;Psalm 88;Acts 10,09/27/2016,10/09/2016,-
2016,Isaiah 37-38;Psalm 89;Acts 11-12,09/28/2016,10/09/2016,-
2016,Isaiah 39-40;Psalm 90;Acts 13,09/29/2016,10/09/2016,-
2016,Isaiah 41-42;Psalm 91;Acts 14,09/30/2016,10/09/2016,-
2016,Isaiah 43-44;Psalm 92;Acts 15,10/01/2016,10/09/2016,-
2016,Isaiah 45-46;Psalm 93;Acts 16,10/02/2016,10/09/2016,-
2016,Isaiah 47-48;Psalm 94;Acts 17,10/03/2016,10/09/2016,-
2016,Isaiah 49-50;Psalm 95;Acts 18,10/04/2016,10/09/2016,-
2016,Isaiah 51-52;Psalm 96;Acts 19,10/05/2016,10/09/2016,-
2016,Isaiah 53-54;Psalm 97;Acts 20,10/06/2016,10/09/2016,-
2016,Isaiah 55-56;Psalm 98;Acts 21,10/07/2016,10/09/2016,-
2016,Isaiah 57-58;Psalm 99;Acts 22,10/08/2016,10/09/2016,-
2016,Isaiah 59-60;Psalm 100;Acts 23,10/09/2016,10/09/2016,-
2016,Isaiah 61-62;Psalm 101;Acts 24-25,10/10/2016,10/10/2016,-
2016,Isaiah 63-64;Psalm 102;Acts 26,10/11/2016,10/11/2016,-
2016,Isaiah 65-66;Psalm 103;Acts 27,10/12/2016,10/12/2016,-
2016,Jeremiah 1-2;Psalm 104;Acts 28,10/13/2016,10/13/2016,-
2016,Jeremiah 3-4;Psalm 105;Romans 1-2,10/14/2016,10/15/2016,-
2016,Jeremiah 5-6;Psalm 106;Romans 3-4,10/15/2016,10/15/2016,-
2016,Jeremiah 7-8;Psalm 107;Romans 5-6,10/16/2016,10/16/2016,-
2016,Jeremiah 9-10;Psalm 108;Romans 7-8,10/17/2016,10/17/2016,-
2016,Jeremiah 11-12;Psalm 109;Romans 9-10,10/18/2016,10/18/2016,-
2016,Jeremiah 13-14;Psalm 110;Romans 11-12,10/19/2016,10/19/2016,-
2016,Jeremiah 15-16;Psalm 111;Romans 13-14,10/20/2016,10/20/2016,-
2016,Jeremiah 17-18;Psalm 112;Romans 15-16,10/21/2016,10/22/2016,-
2016,Jeremiah 19-20;Psalm 113;1 Corinthians 1-2,10/22/2016,10/22/2016,-
2016,Jeremiah 21-22;Psalm 114;1 Corinthians 3-4,10/23/2016,10/23/2016,-
2016,Jeremiah 23-24;Psalm 115;1 Corinthians 5-6,10/24/2016,10/24/2016,-
2016,Jeremiah 25-26;Psalm 116;1 Corinthians 7,10/25/2016,10/25/2016,-
2016,Jeremiah 27-28;Psalm 117;1 Corinthians 8-9,10/26/2016,10/31/2016,-
2016,Jeremiah 29-30;Psalm 118;1 Corinthians 10,10/27/2016,10/31/2016,-
2016,Jeremiah 31-32;Psalm 119:1-64;1 Corinthians 11,10/28/2016,10/31/2016,-
2016,Jeremiah 33-34;Psalm 119:65-120;1 Corinthians 12,10/29/2016,10/31/2016,-
2016,Jeremiah 35-36;Psalm 119:121-176;1 Corinthians 13,10/30/2016,10/31/2016,-
2016,Jeremiah 37-38;Psalm 120;1 Corinthians 14,10/31/2016,10/31/2016,-
2016,Jeremiah 39-40;Psalm 121;1 Corinthians 15,11/01/2016,-,-
2016,Jeremiah 41-42;Psalm 122;1 Corinthians 16,11/02/2016,-,-
2016,Jeremiah 43-44;Psalm 123;2 Corinthians 1,11/03/2016,-,-
2016,Jeremiah 45-46;Psalm 124;2 Corinthians 2-3,11/04/2016,-,-
2016,Jeremiah 47-48;Psalm 125;2 Corinthians 4-5,11/05/2016,-,-
2016,Jeremiah 49-50;Psalm 126;2 Corinthians 6-7,11/06/2016,-,-
2016,Jeremiah 51-52;Psalm 127;2 Corinthians 8,11/07/2016,-,-
2016,Lamentations 1-2;Psalm 128;2 Corinthians 9-10,11/08/2016,-,-
2016,Lamentations 3;Psalm 129;2 Corinthians 11,11/09/2016,-,-
2016,Lamentations 4-5;Psalm 130;2 Corinthians 12,11/10/2016,-,-
2016,Ezekiel 1-2;Psalm 131;2 Corinthians 13,11/11/2016,-,-
